source;target;type;match_type
/archives/1370-0712-saint-michel-escalus-40-passiflore;/evenement/0712-saint-michel-escalus-40-passiflore;301;exact
/archives/1397-0712-espace-culturel-eleclerc-saint-medard-en-jalles-33-jean-michel-cormary-et-jean-michel-lafon;/evenement/0712-espace-culturel-eleclerc-saint-medard-en-jalles-33-jean-michel-cormary-et-jean-michel-lafon;301;exact
/archives/1407-0612-grand-maul-mediatheque-louise-michel-saint-paul-les-dax-40-serge-collinet;/evenement/0612-grand-maul-mediatheque-louise-michel-saint-paul-les-dax-40-serge-collinet;301;exact
/archives/1425-0612-espace-culturel-eleclerc-grand-moun-mont-de-marsan-40-jean-michel-cormary-et-jean-michel-lafon;/evenement/0612-espace-culturel-eleclerc-grand-moun-mont-de-marsan-40-jean-michel-cormary-et-jean-michel-lafon;301;exact
/archives/1416-0312-librairie-les-400-coups-bordeaux-33-marc-large;/evenement/0312-librairie-les-400-coups-bordeaux-33-marc-large;301;exact
/archives/1418-29-et-3011-salon-du-livre-gerzat-63-tang-loaec;/evenement/29-et-3011-salon-du-livre-gerzat-63-tang-loaec;301;exact
/archives/1424-28293011-salon-du-livre-de-pau-64-passiflore-avec-marc-large;/evenement/28293011-salon-du-livre-de-pau-64-passiflore-avec-marc-large;301;exact
/archives/1404-2911-espace-culturel-eleclerc-perigueux-24-jean-michel-cormary-et-jean-michel-lafon;/evenement/2911-espace-culturel-eleclerc-perigueux-24-jean-michel-cormary-et-jean-michel-lafon;301;exact
/archives/1423-2411-la-tumade-mont-de-marsan-40-passiflore-avec-francis-poustis-et-michel-agruna;/evenement/2411-la-tumade-mont-de-marsan-40-passiflore-avec-francis-poustis-et-michel-agruna;301;exact
/archives/1391-22-2311-nimes-30-christophe-chay;/evenement/22-2311-nimes-30-christophe-chay;301;exact
/archives/1327-2211-saugnac-et-muret-40-jean-tucoo-chala;/evenement/2211-saugnac-et-muret-40-jean-tucoo-chala;301;exact
/archives/1389-2211-cultura-d-agen-47-jean-michel-cormary-et-jean-michel-lafon;/evenement/2211-cultura-d-agen-47-jean-michel-cormary-et-jean-michel-lafon;301;exact
/archives/1381-2111-ludo-mediatheque-bruges-pres-bordeaux-chantal-detcherry;/evenement/2111-ludo-mediatheque-bruges-pres-bordeaux-chantal-detcherry;301;exact
/archives/1371-1911-mediatheque-de-magescq-40-marc-large;/evenement/1911-mediatheque-de-magescq-40-marc-large;301;exact
/archives/1379-1611-festival-nos-landes-a-moustey-40-passiflore-avec-jean-michel-cormary-et-gilles-kerlorc-h;/evenement/1611-festival-nos-landes-a-moustey-40-passiflore-avec-jean-michel-cormary-et-gilles-kerlorc-h;301;exact
/archives/1408-15-1611-festival-du-livre-salle-palas-2-oloron-sainte-marie-64-passiflore-et-ses-auteurs;/evenement/15-1611-festival-du-livre-salle-palas-2-oloron-sainte-marie-64-passiflore-et-ses-auteurs;301;exact
/archives/1374-1511-fnac-de-biganos-33-jean-michel-cormary-et-jean-michel-lafon;/evenement/1511-fnac-de-biganos-33-jean-michel-cormary-et-jean-michel-lafon;301;exact
/archives/1396-1511-librairie-la-reverie-aire-sur-l-adour-40-david-dupouy;/evenement/1511-librairie-la-reverie-aire-sur-l-adour-40-david-dupouy;301;exact
/archives/1393-1411-bibliotheque-saint-cyprien-sur-dourdou-12-jean-darot;/evenement/1411-bibliotheque-saint-cyprien-sur-dourdou-12-jean-darot;301;exact
/archives/1410-0911-salon-du-livre-hostens-33-passiflore-avec-jean-michel-cormary-et-patrick-azzurra;/evenement/0911-salon-du-livre-hostens-33-passiflore-avec-jean-michel-cormary-et-patrick-azzurra;301;exact
/archives/1412-0911-salon-du-livre-bougue-40-passiflore-avec-marc-large-et-francis-poustis;/evenement/0911-salon-du-livre-bougue-40-passiflore-avec-marc-large-et-francis-poustis;301;exact
/archives/1392-0811-librairie-la-mine-a-feuilles-decazeville-12-jean-darot;/evenement/0811-librairie-la-mine-a-feuilles-decazeville-12-jean-darot;301;exact
/archives/1398-0811-espace-culturel-eleclerc-langon-33-jean-michel-cormary-et-jean-michel-lafon;/evenement/0811-espace-culturel-eleclerc-langon-33-jean-michel-cormary-et-jean-michel-lafon;301;exact
/archives/1400-0711-0911-foire-du-livre-de-brive-19-chantal-detcherry;/evenement/0711-0911-foire-du-livre-de-brive-19-chantal-detcherry;301;exact
/archives/1383-0711-librairie-la-peche-a-la-ligne-cagnes-sur-mer-06-tang-loaec;/evenement/0711-librairie-la-peche-a-la-ligne-cagnes-sur-mer-06-tang-loaec;301;exact
/archives/1414-0711-bibliotheque-de-tilh-40-marc-large;/evenement/0711-bibliotheque-de-tilh-40-marc-large;301;exact
/archives/1382-0611-librairie-la-procure-nice-06-tang-loaec;/evenement/0611-librairie-la-procure-nice-06-tang-loaec;301;exact
/archives/1411-0611-mairie-laurede-40-francis-poustis-et-michel-agruna;/evenement/0611-mairie-laurede-40-francis-poustis-et-michel-agruna;301;exact
/archives/1373-2610-mediatheque-de-saint-perdon-40-passiflore-avec-patrick-fort-gilles-kerlorc-h-et-frederic-sudupe;/evenement/2610-mediatheque-de-saint-perdon-40-passiflore-avec-patrick-fort-gilles-kerlorc-h-et-frederic-sudupe;301;exact
/archives/1413-25-2610-foire-aux-livres-de-belfort-90-tang-loaec;/evenement/25-2610-foire-aux-livres-de-belfort-90-tang-loaec;301;exact
/archives/1363-2510-espace-culturel-eleclerc-grand-moun-saint-pierre-du-mont-40-david-dupouy;/evenement/2510-espace-culturel-eleclerc-grand-moun-saint-pierre-du-mont-40-david-dupouy;301;exact
/archives/1394-2510-mairie-de-luxey-40-jean-tucoo-chala;/evenement/2510-mairie-de-luxey-40-jean-tucoo-chala;301;exact
/archives/1403-2510-librairie-le-temps-de-vivre-aixe-sur-vienne-87-jean-darot;/evenement/2510-librairie-le-temps-de-vivre-aixe-sur-vienne-87-jean-darot;301;exact
/archives/1402-2410-librairie-le-temps-de-vivre-aixe-sur-vienne-87-lecture-de-l-homme-semence-en-presence-de-jean-darot;/evenement/2410-librairie-le-temps-de-vivre-aixe-sur-vienne-87-lecture-de-l-homme-semence-en-presence-de-jean-darot;301;exact
/archives/1401-1810-le-pave-dans-la-marge-merignac-33-patrick-azzurra;/evenement/1810-le-pave-dans-la-marge-merignac-33-patrick-azzurra;301;exact
/archives/1409-1810-salle-de-la-huchette-leon-40-camelidees-de-latlantique;/evenement/1810-salle-de-la-huchette-leon-40-camelidees-de-latlantique;301;exact
/archives/1388-1210-gamarde-les-bains-40-michel-agruna-et-francis-poustis;/evenement/1210-gamarde-les-bains-40-michel-agruna-et-francis-poustis;301;exact
