source;target;regex;http_code
^/grands-caractères/94-[^/]*\.html$;/livre/la-jeune-fille-et-le-fleuve-grands-caracteres;1;301
^/art/95-[^/]*\.html$;/livre/landes-de-lumieres;1;301
^/art/96-[^/]*\.html$;/livre/syriens-en-regards;1;301
^/presence-de-l-ecrivain/97-[^/]*\.html$;/livre/francois-cheng-ecriture-et-quete-de-sens;1;301
^/romans/98-[^/]*\.html$;/livre/les-helianthes;1;301
^/grands-caractères/99-[^/]*\.html$;/livre/efcharisto-grands-caracteres;1;301
^/grands-caractères/100-[^/]*\.html$;/livre/la-fuite-ditalie-grands-caracteres;1;301
^/sport/101-[^/]*\.html$;/livre/rugby-au-coeur-les-braqueboys;1;301
^/sport/102-[^/]*\.html$;/livre/comprendre-le-rugby;1;301
^/litterature/103-[^/]*\.html$;/livre/tete-a-tete-avec-la-dame-de-brassempouy;1;301
^/romans/104-[^/]*\.html$;/livre/les-petits-pas-dabeille;1;301
^/tauromachie/105-[^/]*\.html$;/livre/mathieu-nogues-vaincre-ou-mourir;1;301
^/litterature/106-[^/]*\.html$;/livre/concours-de-nouvelles-2019;1;301
^/art/107-[^/]*\.html$;/livre/felix-arnaudin-100-ans-apres;1;301
^/romans/108-[^/]*\.html$;/livre/beaux-habitants-de-lunivers;1;301
^/litterature/109-[^/]*\.html$;/livre/rencontre-avec-chantal-detcherry;1;301
^/grands-caractères/110-[^/]*\.html$;/livre/les-helianthes-grands-caracteres;1;301
^/romans/111-[^/]*\.html$;/livre/on-reve-on-vit-on-aime;1;301
^/romans/112-[^/]*\.html$;/livre/le-bruissement-du-monde;1;301
^/litterature/113-[^/]*\.html$;/livre/concours-de-nouvelles-2020;1;301
^/art/114-[^/]*\.html$;/livre/le-coup-de-crayon-de-2020;1;301
^/romans/115-[^/]*\.html$;/livre/toi-qui-que-tu-sois;1;301
^/romans/116-[^/]*\.html$;/livre/en-amont;1;301
^/litterature/117-[^/]*\.html$;/livre/lettres-a-bernard-manciet;1;301
^/presence-de-l-ecrivain/118-[^/]*\.html$;/livre/alain-vircondelet-exil-memoire-et-quete;1;301
^/tauromachie/119-[^/]*\.html$;/livre/les-elevages-de-taureaux-braves-genese-et-evolution;1;301
^/romans/121-[^/]*\.html$;/livre/rien-ne-vaut-ce-jour;1;301
^/culture-sud-ouest/122-[^/]*\.html$;/livre/le-monge-autrefois;1;301
^/art/123-[^/]*\.html$;/livre/plumes;1;301
^/art/124-[^/]*\.html$;/livre/entre-lande-et-ciel;1;301
^/grands-caractères/125-[^/]*\.html$;/livre/histoires-a-lire-au-crepuscule-grands-caracteres;1;301
^/litterature/126-[^/]*\.html$;/livre/concours-de-nouvelles-2021;1;301
^/sport/128-[^/]*\.html$;/livre/villes-dovalie-hommages-chambrages;1;301
^/litterature/129-[^/]*\.html$;/livre/le-retour-de-la-suite;1;301
^/grands-caractères/130-[^/]*\.html$;/livre/toi-qui-que-tu-sois-grands-caracteres;1;301
^/tauromachie/131-[^/]*\.html$;/livre/ironda-reine-des-arenes;1;301
^/presence-de-l-ecrivain/132-[^/]*\.html$;/livre/tahar-ben-jelloun-histoire-racines-mythes;1;301
^/romans/133-[^/]*\.html$;/livre/approcher-les-etoiles;1;301
^/tauromachie/134-[^/]*\.html$;/livre/ironda-a-colorier;1;301
^/litterature/135-[^/]*\.html$;/livre/jean-cassaigne-au-service-des-oublies;1;301
^/romans/136-[^/]*\.html$;/livre/geographie-dun-pere;1;301
^/accueil/137-[^/]*\.html$;/livre/riches-heures;1;301
^/sport/138-[^/]*\.html$;/livre/memoires-du-rugby-a-lancienne;1;301
^/accueil/139-[^/]*\.html$;/livre/saisons-de-sable;1;301
^/accueil/140-[^/]*\.html$;/livre/voyage-dans-le-bleu-rever-dans-les-iles-grecques;1;301
^/accueil/141-[^/]*\.html$;/livre/une-racine-entre-deux-pierres-le-nepal;1;301
^/grands-caractères/142-[^/]*\.html$;/livre/si-je-cessais-de-vous-ecrire-grands-caracteres;1;301
^/tauromachie/143-[^/]*\.html$;/livre/daniel-luque-au-dela-des-elements;1;301
^/litterature/144-[^/]*\.html$;/livre/concours-de-nouvelles-2022;1;301
^/romans/145-[^/]*\.html$;/livre/les-jours-de-sable;1;301
^/romans/146-[^/]*\.html$;/livre/le-beret-du-maitre;1;301
^/tauromachie/147-[^/]*\.html$;/livre/loic-lapoudge-gagner-la-foule;1;301
^/presence-de-l-ecrivain/148-[^/]*\.html$;/livre/marie-helene-lafon-de-la-source-vive-a-la-creation;1;301
^/sport/149-[^/]*\.html$;/livre/luis-ocana-le-tour-du-grand-pardon;1;301
^/romans/150-[^/]*\.html$;/livre/lenfant-don;1;301
^/litterature/151-[^/]*\.html$;/livre/journal-de-maria-lani-modele-de-despiau;1;301
^/romans/152-[^/]*\.html$;/livre/la-bas-la-foret-mattend;1;301
^/grands-caractères/153-[^/]*\.html$;/livre/en-amont-grands-caracteres;1;301
^/romans/155-[^/]*\.html$;/livre/evanouie;1;301
^/sport/156-[^/]*\.html$;/livre/parents-de-rugbyman-heureux-lintegrale;1;301
^/sport/157-[^/]*\.html$;/livre/cote-ouvert-2016-2023-chroniques-dun-sacre-reporte;1;301
^/romans/158-[^/]*\.html$;/livre/lhomme-semence;1;301
^/litterature/159-[^/]*\.html$;/livre/concours-de-nouvelles-2023;1;301
^/romans/160-[^/]*\.html$;/livre/les-envolees-front-deuses;1;301
^/romans/161-[^/]*\.html$;/livre/les-enfants-maigres;1;301
^/grands-caractères/162-[^/]*\.html$;/livre/lhomme-semence-grands-caracteres;1;301
^/grands-caractères/163-[^/]*\.html$;/livre/lenfant-don-grands-caracteres;1;301
^/romans/164-[^/]*\.html$;/livre/cest-une-belle-fin-je-trouve;1;301
^/culture-sud-ouest/165-[^/]*\.html$;/livre/dino-le-chameau-ecolo;1;301
^/romans/166-[^/]*\.html$;/livre/les-perpendiculaires;1;301
^/tauromachie/167-[^/]*\.html$;/livre/vacances-a-la-ganaderia;1;301
^/romans/168-[^/]*\.html$;/livre/la-femme-ile;1;301
^/sport/169-[^/]*\.html$;/livre/conquerantes;1;301
^/tauromachie/170-[^/]*\.html$;/livre/las-cinco-menos-cinco;1;301
^/art/171-[^/]*\.html$;/livre/courir-la-lande;1;301
^/litterature/172-[^/]*\.html$;/livre/concours-de-nouvelles-2024;1;301
^/art/180-[^/]*\.html$;/livre/images-des-landes-de-gascogne-1932-1933;1;301
^/romans/182-[^/]*\.html$;/livre/le-bleu-des-flammes;1;301
^/romans/183-[^/]*\.html$;/livre/ainsi-quun-lion-devorant;1;301
^/tauromachie/184-[^/]*\.html$;/livre/la-fete-au-village;1;301
^/romans/185-[^/]*\.html$;/livre/anya-fille-dukraine;1;301
^/sport/186-[^/]*\.html$;/livre/villes-dovalie;1;301
^/tauromachie/187-[^/]*\.html$;/livre/michel-agruna-le-grand-temoin;1;301
^/romans/188-[^/]*\.html$;/livre/le-saule-mort;1;301
^/romans/189-[^/]*\.html$;/livre/lamer-du-the;1;301
^/romans/190-[^/]*\.html$;/livre/louisy-du-cachot-a-lhemicycle;1;301
^/romans/191-[^/]*\.html$;/livre/les-canous;1;301
^/tauromachie/192-[^/]*\.html$;/livre/cest-pas-moi-cest-papi;1;301
^/art/193-[^/]*\.html$;/livre/lette;1;301
^/litterature/194-[^/]*\.html$;/livre/un-ecrivain-qui-se-livre-cest-comme-un-canard-qui-se-confie;1;301
